artist,id,title
'Fela Kuti',1HC6o3lTQvNmtH3ejYG4hs,'Gentleman'
'Harrison Fjord',5IX6J22Qg2uUNfTlqpQIMN,'Approximately 906 Miles'
'Deem Spencer',2e57IPqdq4vtyTpTe98FYh,'There Was Plenty Time Before Us'
'Earl Sweatshirt',1qqEKh4wmdcQGG1c2z8sH0,'Playing Possum (feat. Cheryl Harris & Keorapetse Kgositsile)'
'Earl Sweatshirt',2KrHM3YwVwewEAxss7iuj7,'Nowhere2go'
'Ronny Jordan',6eGghCgGqV7xo7FrU0hjcB,'Mystic Voyage'
'Roy Ayers',6mvfyGtmGo4q7pMtNK4V41,'Sunshine - The Amalgamation of Soundz'
'Marvin Gaye',1UEfu2s753JRqoYmfdZ8EU,'Time To Get It Together - Alternate Extended Mix'
'Bobby Caldwell',1e1ydzxTTqTtt3iimk6NnL,'Carry On'
'Rick James',5hWLHFSmomXmeTXEE478My,'Mary Jane'
'Ekkah',2odxfGira7I4ACOeb6e8Ya,'What's Up'
'King Geedorah',1R28m5eWk1EV9FQ3puWrUp,'Fazers'
'The Modern Lovers',36JuaGlNLdEDPnBWpEUjJW,'A plea for tenderness'
'Frank Sinatra',1YrcdJX562hDZZcfq0DUdk,'Bein' Green'
'Kikagaku Moyo',7FhKuFopFs9DZqocoHOvVs,'Green Sugar'
'Soft Hair',1emqeqHv25IU5tLgvzwJ4r,'Jealous Lies'
'Peaches',2qZHcdC7Hnv4bx88ieAywG,'DownTown'
'The Knife',61PbukdCstqNPp9YEVuYOr,'We Share Our Mothers' Health'
'Yelle',3CQ3l2jFuf1R2uQlpEn8Xt,'À cause des garçons - Tepr Remix'
'Santigold',6K2QpUqvNLchsEqRy1iOTW,'Run the Road'
'M.I.A.',1kusepF3AacIEtUTYrw4GV,'Paper Planes'
'M.I.A.',190X2XstLohM2pnitifRGG,'Boyz'
'The Rapture',44IViv0bVWrEmScLcFssav,'It Takes Time to Be a Man'
'Daniele Luppi',73pH3dlGVlgLNGRPa9TlKY,'Soul and Cigarette'
'Parquet Courts',1hpzGaL2GFuf1SdL6BkA6Z,'Monastic Living I'
'Daniele Luppi',215ZoC6259dx2Wt0HVUU9g,'Talisa'
'Parquet Courts',30zu86EEznmn8Vvp1cKRn7,'These Boots Are Made for Walkin''
'The Chemical Brothers',3m1JFLpKLYgMi1jf6Bu16P,'Let Forever Be'
